the_geom,cartodb_id,the_geom_webmercator,record_id,station_key,station_id,name,road_name,full_name,common_road_name,secondary_name,road_name_base,road_name_type,intersection,distance_to_intersection,road_number,link_number,mab_way_type,mab_way_number,mab_identifier,road_functional_hierarchy,road_on_type,lane_count,road_classification_type,road_classification_admin,rms_region,lga,suburb,post_code,device_type,heavy_vehicle_checking_station,permanent_station,vehicle_classifier,lambert_easting,lambert_northing,wgs84_latitude,wgs84_longitude,direction_seq,quality_rating,publish,md5,updated_on
,6306,,,58215,95104,Snowy Mountains Highway,Snowy Mountains Highway,"Snowy Mountains Highway, South of Boonderoo Road",Snowy Mountains Highway,South of Boonderoo Road,Snowy Mountains,Highway,Boonderoo Road,230,0000004,0501,B,72,B72,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,South West,Tumut,Tumut,2720,Trafficorder Tube Axlepair Counter,false,0,1,9412493,4269021.5,-35.327759,148.23764,9,5,true,dc5fee9ed6ce450518dfd184958bd520,2018-06-12 02:48:41.978017+00
,6307,,,58250,95224,Lake Road,Lake Road,"Lake Road, North of West Wyalong Condobolin Road",Lake Road,North of West Wyalong Condobolin Road,Lake,Road,West Wyalong Condobolin Road,1090,0000231,0010,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Road,Regional,South West,Bland,Girral,2669,Trafficorder Tube Axlepair Counter,false,0,1,9306134,4450684.5,-33.695034,147.066223,10,5,true,812a9557c127e08cabd411abcbf03e7d,2018-06-12 02:48:41.978017+00
,6308,,,55398,02387,South Dowling Street,South Dowling Street,"South Dowling Street, North of Crescent Street",South Dowling Street,North of Crescent Street,South Dowling,Street,Crescent Street,80,0000593,1065,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Street,State,Sydney,Sydney,Moore Park,2021,Trafficorder Tube Axlepair Counter,false,0,0,9689511,4420442,-33.897015,151.215988,9,5,true,cdefd186305e8a5e669372ebe575aecc,2018-06-12 02:48:41.978017+00
,6309,,,56048,05535,Elderslie Road,Elderslie Road,"Elderslie Road, West of Blind Creek Road",Elderslie Road,West of Blind Creek Road,Elderslie,Road,Blind Creek Road,220,0000453,0020,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Road,Regional,Hunter,Singleton,Mitchells Flat,2330,Trafficorder Tube Axlepair Counter,false,0,1,9704712,4568354.5,-32.557648,151.314255,9,5,true,a65623af9b37d707a4acfbf651e3abc7,2018-06-12 02:48:41.978017+00
,6310,,,56860,32028,Epping Road,Epping Road,"Epping Road, West of Elizabeth Parade","Epping.epping Rd, Lane Cove West",West of Elizabeth Parade,Epping,Road,Elizabeth Parade,30,0000373,0030,M,2,M2,Arterial Road,OnGround,TwoOrMoreLanes,Road,State,Sydney,Lane Cove,Lane Cove West,2066,Trafficorder Loop Counter,false,1,0,9684898,4430237.5,-33.810368,151.16188,3,4,true,fb9c684a702ac480d58f8b0bae2c2857,2018-06-12 02:48:41.978017+00
,6311,,,56667,17041,Southern Cross Drive,Southern Cross Drive,"Southern Cross Drive, East of Mill Pond Drive",Southern Cross Drive,East of Mill Pond Drive,Southern Cross,Drive,Mill Pond Drive,100,0000593,0930,M,1,M1,Motorway,OnGround,TwoOrMoreLanes,Drive,State,Sydney,Botany Bay,Mascot,2020,Trafficorder Dual Tube Classifier,false,0,0,9687756,4416131,-33.93652,151.198883,10,5,true,48f3a40f88a9f771af99eb86790a53d5,2018-06-12 02:48:41.978017+00
,6312,,,58213,95098,Newell Highway,Newell Highway,"Newell Highway, South of Ariah Street",Newell Highway,South of Ariah Street,Newell,Highway,Ariah Street,70,0000017,2380,A,39,A39,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,South West,Bland,Mirrool,2665,Trafficorder Tube Axlepair Counter,false,0,1,9308318,4382589,-34.309448,147.090439,9,5,true,33887c0be0086e436ac0d65e1144b93b,2018-06-12 02:48:41.978017+00
,6313,,,15334022,T0253,Newell Highway,Newell Highway,"Newell Highway, South of Mid Western Highway","Newell.newell Highway, Nr Wyalong",South of Mid Western Highway,Newell,Highway,Mid Western Highway,250,0000017,2490,B,64,B64,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Western,Weddin,Caragabal,2810,Tirtl,false,1,1,9348354,4443355.5,-33.760098,147.522415,9,4,true,0b39c3e6b84d597587e8b018709e6d50,2018-06-12 02:48:41.978017+00
,6314,,,57300,70011,Great Western Highway,Great Western Highway,"Great Western Highway, West of Toongabbie Road","Great Western.great Western Hwy, Prospect",West of Toongabbie Road,Great Western,Highway,Toongabbie Road,140,0000005,0831,A,44,A44,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Sydney,Holroyd,Greystanes,2145,Trafficorder Dual Tube Classifier,false,1,0,9663714,4431479.5,-33.806572,150.932541,10,4,true,687717097a19be08429e71d019313841,2018-06-12 02:48:41.978017+00
,6315,,,58862,BNMSTC,New England Highway,New England Highway,"New England Highway, South of Caroline Street","New England.new England Highway, Moonbi",South of Caroline Street,New England,Highway,Caroline Street,180,0000009,1045,B,56,B56,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Northern,Tamworth Regional,Bendemeer,2355,Tirtl,false,1,1,9697038,4752931,-30.896273,151.154327,9,4,true,585e8ef335f9b94df1825191db1923e8,2018-06-12 02:48:41.978017+00
,6316,,,55742,05033,Hunter Expressway,Hunter Expressway,"Hunter Expressway, East of New England Highway",Hunter Expressway,East of New England Highway,Hunter,Expressway,New England Highway,730,0006011,0240,M,15,M15,Motorway,OnBridge,TwoOrMoreLanes,Expressway,Local,Hunter,Singleton,Branxton,2335,Trafficorder Tube Axlepair Counter,false,0,1,9705614,4557430.5,-32.655823,151.328674,9,5,true,01bc0e481ec4c40b2c3bbfa920b27c2e,2018-06-12 02:48:41.978017+00
,6317,,,58029,93895,Mid Western Highway,Mid Western Highway,"Mid Western Highway, West of Walli Road",Mid Western Highway,West of Walli Road,Mid Western,Highway,Walli Road,560,0000006,0220,A,41,A41,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Western,Cowra,Woodstock,2793,Trafficorder Dual Tube Classifier,false,0,1,9470569,4447115.5,-33.713688,148.841919,10,5,true,86bc140248dccee79bfc622333dd927c,2018-06-12 02:48:41.978017+00
